"REF_DATE","GEO","DGUID","Country of residence","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-01","Newfoundland and Labrador","2016A000210","Argentina","Persons","249","units","0","v126737","2.210","0","","","","0"
"2020-02","Newfoundland and Labrador","2016A000210","Argentina","Persons","249","units","0","v126737","2.210","0","","","","0"
"2020-03","Newfoundland and Labrador","2016A000210","Argentina","Persons","249","units","0","v126737","2.210","0","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Argentina","Persons","249","units","0","v126737","2.210","0","","","","0"
"2019-12","Newfoundland and Labrador","2016A000210","Brazil","Persons","249","units","0","v126735","2.208","3","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Brazil","Persons","249","units","0","v126735","2.208","4","","","","0"
"2020-02","Newfoundland and Labrador","2016A000210","Brazil","Persons","249","units","0","v126735","2.208","2","","","","0"
"2020-03","Newfoundland and Labrador","2016A000210","Brazil","Persons","249","units","0","v126735","2.208","0","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Brazil","Persons","249","units","0","v126735","2.208","0","","","","0"
"2019-12","Newfoundland and Labrador","2016A000210","Bolivia","Persons","249","units","0","v126742","2.211","0","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Bolivia","Persons","249","units","0","v126742","2.211","0","","","","0"
"2020-02","Newfoundland and Labrador","2016A000210","Bolivia","Persons","249","units","0","v126742","2.211","0","","","","0"
"2020-03","Newfoundland and Labrador","2016A000210","Bolivia","Persons","249","units","0","v126742","2.211","0","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Bolivia","Persons","249","units","0","v126742","2.211","0","","","","0"
"2019-12","Newfoundland and Labrador","2016A000210","Chile","Persons","249","units","0","v126743","2.212","8","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Chile","Persons","249","units","0","v126743","2.212","3","","","","0"
"2020-02","Newfoundland and Labrador","2016A000210","Chile","Persons","249","units","0","v126743","2.212","0","","","","0"
"2020-03","Newfoundland and Labrador","2016A000210","Chile","Persons","249","units","0","v126743","2.212","0","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Chile","Persons","249","units","0","v126743","2.212","0","","","","0"
"2019-12","Newfoundland and Labrador","2016A000210","Colombia","Persons","249","units","0","v126744","2.213","4","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Colombia","Persons","249","units","0","v126744","2.213","4","","","","0"
"2020-02","Newfoundland and Labrador","2016A000210","Colombia","Persons","249","units","0","v126744","2.213","2","","","","0"
"2020-03","Newfoundland and Labrador","2016A000210","Colombia","Persons","249","units","0","v126744","2.213","0","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Colombia","Persons","249","units","0","v126744","2.213","0","","","","0"
